filepath,food_name,carbs_per_100g,model_guess,confidence
/mnt/c/Users/azizt/OneDrive/Dokumenti/See-Sense/1_food_datasets/IFood2019/train_set/train_101769.jpg,dolmas,15,stuffed peppers,0.9248217
/mnt/c/Users/azizt/OneDrive/Dokumenti/See-Sense/1_food_datasets/IFood2019/train_set/train_101874.jpg,dolmas,15,greek salad,0.9505132
/mnt/c/Users/azizt/OneDrive/Dokumenti/See-Sense/1_food_datasets/IFood2019/train_set/train_102035.jpg,dolmas,15,pepper steak,0.9488626
/mnt/c/Users/azizt/OneDrive/Dokumenti/See-Sense/1_food_datasets/IFood2019/train_set/train_102307.jpg,coquilles saint jacques,15,mussel,0.9900237
/mnt/c/Users/azizt/OneDrive/Dokumenti/See-Sense/1_food_datasets/IFood2019/train_set/train_102308.jpg,coquilles saint jacques,15,mussel,0.90222496
/mnt/c/Users/azizt/OneDrive/Dokumenti/See-Sense/1_food_datasets/IFood2019/train_set/train_102381.jpg,coquilles saint jacques,15,cottage pie,0.98657155
/mnt/c/Users/azizt/OneDrive/Dokumenti/See-Sense/1_food_datasets/IFood2019/train_set/train_102526.jpg,coquilles saint jacques,15,scallop,0.91394037
/mnt/c/Users/azizt/OneDrive/Dokumenti/See-Sense/1_food_datasets/IFood2019/train_set/train_102704.jpg,coquilles saint jacques,15,sashimi,0.928189
/mnt/c/Users/azizt/OneDrive/Dokumenti/See-Sense/1_food_datasets/IFood2019/train_set/train_102802.jpg,veal cordon bleu,15,lutefisk,0.9991028
/mnt/c/Users/azizt/OneDrive/Dokumenti/See-Sense/1_food_datasets/IFood2019/train_set/train_102873.jpg,veal cordon bleu,15,prime rib,0.98510873
/mnt/c/Users/azizt/OneDrive/Dokumenti/See-Sense/1_food_datasets/IFood2019/train_set/train_102889.jpg,veal cordon bleu,15,strudel,0.9986382
/mnt/c/Users/azizt/OneDrive/Dokumenti/See-Sense/1_food_datasets/IFood2019/train_set/train_102895.jpg,veal cordon bleu,15,chicken cordon bleu,0.98886615
/mnt/c/Users/azizt/OneDrive/Dokumenti/See-Sense/1_food_datasets/IFood2019/train_set/train_102917.jpg,veal cordon bleu,15,chicken cordon bleu,0.97835094
/mnt/c/Users/azizt/OneDrive/Dokumenti/See-Sense/1_food_datasets/IFood2019/train_set/train_102920.jpg,veal cordon bleu,15,entrecote,0.9987637
/mnt/c/Users/azizt/OneDrive/Dokumenti/See-Sense/1_food_datasets/IFood2019/train_set/train_102925.jpg,veal cordon bleu,15,chicken cordon bleu,0.92220414
